Autauga County, Alabama 36051 36003 36008 36758 36006 36066 36091 36022 36701 36703 36068 36749 36067 Pine Level CDP Autaugaville town Marbury CDP Prattville city Millbrook city Billingsley town
Denver County, Colorado 80214 80022 80248 80222 80273 80246 80256 80264 80208 80266 80290 80202 80237 80230 80263 80218 80203 80205 80243 80299 80294 80209 80211 80223 80127 80261 80014 80201 80012 80224 80212 80033 80220 80226 80249 80259 80236 80206 80110 80257 80265 80238 80123 80216 80232 80247 80293 80231 80219 80204 80235 80250 80210 80111 80221 80271 80227 80281 80239 80207 80010 80291 80217 80274 Denver city
Dolores County, Colorado 81320 81332 81324 Dove Creek town Rico town
Douglas County, Colorado 80134 80016 80104 80118 80131 80163 80109 80129 80106 80135 80125 80124 80126 80130 80112 80138 80116 80433 80108 Louviers CDP Aurora city Sedalia CDP Grand View Estates CDP Roxborough Park CDP Highlands Ranch CDP Meridian CDP Acres Green CDP Parker town Larkspur town Castle Rock town Westcreek CDP Littleton city Franktown CDP Stonegate CDP Perry Park CDP Castle Pines CDP The Pinery CDP Lone Tree city Castle Pines North city
Eagle County, Colorado 81655 81645 81642 80498 81632 81649 81637 81623 81657 80426 80463 81658 81621 81631 81620 80423 Eagle town Minturn town Dotsero CDP Vail town McCoy CDP Wolcott CDP Basalt town Avon town Gypsum town Red Cliff town El Jebel CDP Fulford CDP Edwards CDP
Elbert County, Colorado 80134 80833 80808 80832 80831 80102 80830 80116 80107 80117 80828 80105 80138 80835 80101 80106 Elizabeth town Simla town Elbert CDP Kiowa town Ponderosa Park CDP
El Paso County, Colorado 80907 80808 80962 80921 80864 80997 80930 80946 80951 80935 80909 80926 80910 80919 80809 80835 80903 80819 80912 80938 80833 80831 80841 80132 80928 80932 80918 80977 80931 80936 80133 80908 80925 80915 80106 80941 80923 80934 80933 80937 80960 81008 80920 80916 80904 80942 80917 80949 80929 80863 80950 80911 80947 80901 80905 80927 80840 80832 80924 80939 80906 80970 80817 80829 80902 80922 80914 80913 Fountain city Calhan town Ramah town Ellicott CDP Stratmoor CDP Green Mountain Falls town Rock Creek Park CDP Black Forest CDP Colorado Springs city Fort Carson CDP Peyton CDP Palmer Lake town Woodmoor CDP Gleneagle CDP Monument town Manitou Springs city Air Force Academy CDP Security-Widefield CDP Cascade-Chipita Park CDP Cimarron Hills CDP
Fremont County, Colorado 81212 81244 81226 80816 81253 81221 81233 81240 80926 81290 81215 81222 81232 81252 81223 81201 Rockvale town Howard CDP Penrose CDP Florence city Coaldale CDP Caï¿½on City city Brookside town Lincoln Park CDP Williamsburg town Cotopaxi CDP Coal Creek town
Garfield County, Colorado 81602 81647 81635 81637 81601 81623 81652 81641 81630 81650 Parachute town Silt town Battlement Mesa CDP Chacra CDP New Castle town Glenwood Springs city Carbondale town Cattle Creek CDP Catherine CDP Rifle city No Name CDP Mulford CDP
Gilpin County, Colorado 80403 80474 80422 80427 Rollinsville CDP Coal Creek CDP Central City city Black Hawk city
Grand County, Colorado 80482 80498 80478 80447 80446 80451 80423 80442 80468 80459 Fraser town Winter Park town Grand Lake town Granby town Kremmling town Hot Sulphur Springs town Parshall CDP Tabernash CDP
Gunnison County, Colorado 81241 81237 81243 81224 81230 81210 81623 81231 81225 81239 81434 81220 Gunnison city Crested Butte town Pitkin town Mount Crested Butte town Marble town
Hinsdale County, Colorado 81147 81130 81235 Piedra CDP Cathedral CDP Lake City town
Huerfano County, Colorado 81069 81055 81089 81040 La Veta town Walsenburg city
Jackson County, Colorado 80473 80434 80480 80430 Walden town
Jefferson County, Colorado 80214 80020 80001 80034 80128 80003 80031 80470 80465 80162 80215 80127 80021 80401 80033 80212 80419 80403 80226 80123 80002 80135 80125 80232 80235 80204 80225 80425 80005 80421 80454 80453 80007 80439 80004 80228 80303 80227 80402 80437 80457 80433 80006 Dakota Ridge CDP Morrison town Aspen Park CDP Applewood CDP Idledale CDP Wheat Ridge city East Pleasant View CDP Genesee CDP Westminster city Lakewood city Golden city Mountain View town Columbine CDP Lakeside town Littleton city Edgewater city Indian Hills CDP Fairmount CDP West Pleasant View CDP Arvada city Kittredge CDP Ken Caryl CDP Superior town Coal Creek CDP Evergreen CDP Bow Mar town
Kiowa County, Colorado 81071 81047 81036 81021 81045 Brandon CDP Sheridan Lake town Towner CDP Eads town Haswell town
Kit Carson County, Colorado 80861 80807 80836 80805 80815 80834 Stratton town Flagler town Bethune town Burlington city Seibert town Vona town
Lake County, Colorado 80429 81251 80461 81228 Leadville North CDP Twin Lakes CDP Leadville city
La Plata County, Colorado 81328 81303 81329 81326 81137 81302 81301 81122 Bayfield town Durango city Southern Ute CDP Ignacio town
Larimer County, Colorado 80525 80535 80517 80521 80534 80532 80550 80540 80503 80524 80512 80511 80536 80522 80553 80537 80539 80612 80510 80523 80430 80513 80527 80541 80538 80547 80526 80545 80528 80549 80504 80515 Loveland city Johnstown town Red Feather Lakes CDP Wellington town Windsor town Laporte CDP Berthoud town Fort Collins city Timnath town Estes Park town
Las Animas County, Colorado 81064 81027 81059 81024 81020 81081 81082 81046 81089 81054 81049 81039 81091 Weston CDP Segundo CDP Stonewall Gap CDP Starkville town Valdez CDP Jansen CDP Kim town Trinidad city Branson town Cokedale town Aguilar town Lynn CDP El Moro CDP Hoehne CDP
Lincoln County, Colorado 80823 80833 80804 80832 81076 80818 81063 80828 80821 81045 80826 Limon town Hugo town Genoa town Arriba town
Logan County, Colorado 80745 80728 80736 80731 80741 80751 80722 80726 80747 Crook town Atwood CDP Peetz town Sterling city Padroni CDP Iliff town Fleming town Merino town
Mesa County, Colorado 81523 81505 81504 81526 81643 81501 81635 81503 81521 81520 81506 81502 81522 81624 81646 81525 81527 81507 81524 81630 Clifton CDP Loma CDP Fruita city Redlands CDP Grand Junction city Palisade town Fruitvale CDP Orchard Mesa CDP Collbran town De Beque town
Mineral County, Colorado 81130 81154 City of Creede town
Moffat County, Colorado 81625 81610 81640 81641 81633 81653 81638 Craig city Maybell CDP Dinosaur town
Montezuma County, Colorado 81331 81321 81328 81323 81330 81327 81335 81334 Cortez city Towaoc CDP Dolores town Lewis CDP Mancos town
Montrose County, Colorado 81431 81415 81411 81416 81401 81422 81424 81403 81402 81429 81220 81425 Redvale CDP Montrose city Nucla town Naturita town Olathe town
Morgan County, Colorado 80705 80750 80723 80653 80701 80741 80649 80654 80742 80733 Brush city Morgan Heights CDP Orchard CDP Jackson Lake CDP Saddle Ridge CDP Snyder CDP Wiggins town Log Lane Village town Fort Morgan city Trail Side CDP Weldona CDP Blue Sky CDP Hillrose town
Otero County, Colorado 81059 81067 81058 81030 81050 81039 81077 La Junta Gardens CDP North La Junta CDP Cheraw town Swink town La Junta city Rocky Ford city Fowler town Manzanola town
Ouray County, Colorado 81403 81427 81432 Portland CDP Colona CDP Loghill Village CDP Ouray city Ridgway town
Park County, Colorado 80449 80421 80420 80456 80432 80439 80816 80827 80448 80440 80475 80820 80470 Fairplay town Guffey CDP Alma town
Phillips County, Colorado 80721 80746 80744 80734 80731 Holyoke city Amherst CDP Paoli town Haxtun town
Pitkin County, Colorado 81642 81615 81611 81656 81623 81612 81654 81621 Woody Creek CDP Snowmass Village town Basalt town Norrie CDP Redstone CDP Aspen city
Prowers County, Colorado 81047 81092 81052 81041 81043 Granada town Hartman town Wiley town Lamar city Holly town
Pueblo County, Colorado 81069 81011 81007 81006 81062 81253 81008 81001 81019 81039 81022 81009 81002 81004 81010 81023 81005 81012 80817 81025 81003 Salt Creek CDP Colorado City CDP Vineland CDP Pueblo West CDP Beulah Valley CDP Avondale CDP Boone town Rye town Pueblo city Blende CDP
Rio Blanco County, Colorado 81648 81638 81641 81650 Meeker town Rangely town
Rio Grande County, Colorado 81132 81101 81144 81135 81154 81125 Alpine CDP Del Norte town Gerrard CDP South Fork town Monte Vista city Center town
Routt County, Colorado 80483 80487 80469 81639 80467 80428 80479 80463 80477 81638 Yampa town Steamboat Springs city Phippsburg CDP Oak Creek town Hayden town
Saguache County, Colorado 81248 81132 81230 81131 81143 81155 81149 81125 Bonanza town Saguache town Crestone town Moffat town Center town
San Juan County, Colorado 81301 81432 81433 Silverton town
San Miguel County, Colorado 81431 81435 81423 81432 81325 81426 81430 Norwood town Mountain Village town Ophir town Telluride town Sawpit town
Sedgwick County, Colorado 80737 80744 80749 Ovid town Julesburg town Sedgwick town
Summit County, Colorado 80498 80443 80497 80424 80435 Keystone CDP Copper Mountain CDP Breckenridge town Frisco town Blue River town Heeney CDP Silverthorne town Montezuma town Dillon town
Teller County, Colorado 80813 80135 80860 80814 80816 80827 80866 80906 80863 Green Mountain Falls town Victor city Divide CDP Midland CDP Goldfield CDP Florissant CDP Cripple Creek city Woodland Park city
Washington County, Colorado 80801 80720 80723 80818 80743 80740 80741 80757 80759 80812 80834 80733 Otis town Akron town
Weld County, Colorado 80621 80643 80631 80624 80520 80615 80534 80550 80530 80516 80649 80646 80524 80543 80622 80645 80642 80620 80623 80745 80537 80732 80514 80644 80610 80612 80633 80551 80634 80650 80754 80542 80549 80603 80513 80648 80651 80632 80611 80652 80729 80638 80741 80654 80742 80546 80639 80504 Fort Lupton city Raymer (New Raymer) town Erie town Platteville town Kersey town Eaton town Dacono city Longmont city Firestone town Ault town Thornton city Milliken town Severance town Aristocrat Ranchettes CDP Windsor town La Salle town Evans city Keenesburg town Mead town Northglenn city Hudson town Grover town Johnstown town Lochbuie town Greeley city Berthoud town Pierce town Garden City town Nunn town Frederick town Gilcrest town Brighton city
Yuma County, Colorado 80727 80822 80824 80758 80755 80734 80735 80759 80731 Joes CDP Wray city Eckley town Yuma city Kirk CDP Laird CDP Vernon CDP Idalia CDP
Fairfield County, Connecticut 06607 06856 06825 06605 06853 06615 06851 06897 06906 06836 06911 06902 06852 06608 06926 06824 06602 06828 06881 06804 06604 06904 06903 06907 06901 06854 06606 06820 06830 06855 06404 06812 06905 06484 06877 06850 06858 06810 06776 06840 06611 06896 06811 06807 06470 06927 06610 06601 06888 06614 06612 06482 06699 06418 06838 06813 06912 06440 06468 06829 06870 06876 06878 06875 06491 06883 06784 06890 06831 06880 06910 06801 06673 Easton town Darien town Darien CDP Brookfield town Old Greenwich CDP Trumbull town Bridgeport town Ridgefield CDP Greenwich CDP Norwalk city Cos Cob CDP Glenville CDP Fairfield town Pemberwick CDP Westport town Newtown borough Shelton city Danbury town Redding town Stratford town Weston town Wilton town Bethel CDP Bridgeport city Westport CDP Cannondale CDP Danbury city Newtown town New Canaan town Stratford CDP Southport CDP Georgetown CDP Norwalk town Shelton town Greenwich town Stamford town Monroe town New Fairfield town Sherman town Wilton Center CDP Bethel town Stamford city County Subdivisions not defined Byram CDP Trumbull CDP Riverside CDP Ridgefield town
Hartford County, Connecticut 06070 06066 06002 06006 06028 06106 06467 06078 06091 06082 06154 06119 06020 06444 06027 06127 06108 06137 06085 06067 06123 06052 06071 06041 06081 06107 06118 06120 06060 06156 06144 06143 06022 06051 06451 06112 06126 06010 06147 06030 06001 06167 06016 06089 06786 06111 06083 06161 06035 06050 06103 06074 06062 06034 06096 06040 06199 06065 06110 06117 06011 06183 06129 06080 06114 06045 06145 06033 06447 06090 06160 06131 06142 06133 06064 06092 06101 06132 06102 06141 06037 06025 06155 06019 06013 06479 06026 06153 06032 06489 06023 06095 06053 06138 06115 06109 06088 06128 06042 06146 06134 06152 06105 06043 06073 06791 06093 Suffield town Manchester CDP Simsbury town Suffield Depot CDP Canton town Simsbury Center CDP South Windsor town Wethersfield CDP Canton Valley CDP Broad Brook CDP Southington town Burlington town New Britain city Plainville town Windsor town Weatogue CDP East Windsor town New Britain town Salmon Brook CDP Bristol city East Hartford town Newington CDP Glastonbury Center CDP Collinsville CDP Manchester town Berlin town East Hartford CDP North Granby CDP Blue Hills CDP Enfield town Hartford town Kensington CDP Tariffville CDP Southwood Acres CDP Rocky Hill town Granby town Thompsonville CDP Windsor Locks town Hartland town Windsor Locks CDP West Simsbury CDP East Granby town West Hartford town Sherwood Manor CDP Glastonbury town Bloomfield town Farmington town Terramuggus CDP Avon town Newington town Wethersfield town Hazardville CDP Bristol town Hartford city West Hartford CDP Marlborough town
Litchfield County, Connecticut 06039 06777 06708 06079 06757 06804 06763 06753 06794 06751 06795 06758 06781 06098 06065 06068 06057 06754 06010 06793 06755 06061 06790 06779 06750 06776 06756 06782 06792 06778 06018 06796 06069 06786 06785 06783 06798 06021 06752 06058 06784 06759 06787 06031 06063 06059 06024 06791 Norfolk CDP Sharon CDP Terryville CDP Sharon town Woodbury town Thomaston town Bethlehem Village CDP Bridgewater town Canaan CDP Falls Village CDP Norfolk town Northwest Harwinton CDP Watertown CDP Canaan town Lakeville CDP Colebrook town North Canaan town Oakville CDP Cornwall town Morris town New Hartford town New Preston CDP Litchfield town Watertown town New Hartford Center CDP Bethlehem town Torrington city Winsted CDP Woodbury Center CDP Washington town Plymouth town Warren town Litchfield borough Goshen town New Milford CDP Roxbury town Barkhamsted town New Milford town Torrington town Salisbury town Winchester town Kent town Bantam borough Harwinton town Thomaston CDP
Middlesex County, Connecticut 06498 06414 06457 06416 06455 06412 06423 06426 06422 06475 06438 06442 06480 06420 06459 06424 06413 06023 06469 06417 06481 06409 06441 06415 06419 06456 06073 Portland CDP Killingworth town Old Saybrook Center CDP Clinton town Deep River town Lake Pocotopaug CDP Clinton CDP Higganum CDP Cromwell town Westbrook town Old Saybrook town Deep River Center CDP Moodus CDP Fenwick borough Middletown city Chester Center CDP Durham town East Haddam town Middletown town Portland town East Hampton CDP Chester town Middlefield town Essex town East Hampton town Westbrook Center CDP Essex Village CDP Haddam town Durham CDP Saybrook Manor CDP County Subdivisions not defined
New Haven County, Connecticut 06487 06534 06437 06460 06504 06521 06770 06702 06721 06516 06779 06722 06524 06704 06530 06701 06520 06535 06443 06515 06708 06506 06451 06405 06703 06403 06538 06410 06505 06507 06525 06510 06723 06411 06706 06493 06488 06533 06705 06532 06519 06408 06514 06537 06720 06710 06472 06540 06536 06517 06518 06511 06492 06502 06478 06501 06037 06509 06512 06503 06724 06401 06749 06471 06495 06712 06531 06479 06422 06489 06494 06477 06473 06450 06483 06762 06418 06716 06508 06461 06513 Waterbury town Woodbridge town Naugatuck borough Madison town Meriden city North Haven town Beacon Falls town Prospect town Bethany town East Haven CDP Wallingford town Orange town North Branford town Ansonia city Oxford town Cheshire Village CDP Hamden town Waterbury city New Haven town Branford Center CDP Wolcott town Woodmont borough Guilford town Derby city New Haven city Wallingford Center CDP West Haven city Orange CDP West Haven town Derby town Madison Center CDP East Haven town Middlebury town Branford town Meriden town Seymour town Milford city (balance) Heritage Village CDP Milford town Guilford Center CDP Naugatuck town Southbury town Ansonia town Cheshire town County Subdivisions not defined North Haven CDP
New London County, Connecticut 06439 06388 06382 06384 06357 06374 06376 06380 06336 06339 06383 06254 06370 06365 06351 06355 06359 06231 06353 06349 06420 06340 06372 06330 06338 06350 06389 06378 06371 06360 06334 06415 06335 06333 06385 06375 06249 06379 06320 Groton Long Point borough Waterford town Stonington borough Colchester CDP Bozrah town Gales Ferry CDP New London town Sprague town Norwich city Groton town Mashantucket CDP Lyme town Waterford CDP Groton city Pawcatuck CDP Noank CDP Norwich town New London city Franklin town Old Lyme town Colchester town Oxoboxo River CDP Mystic CDP East Lyme town Old Mystic CDP Niantic CDP Montville town Preston town Jewett City borough North Stonington town Conning Towers Nautilus Park CDP Ledyard town Stonington town Poquonock Bridge CDP Voluntown town Long Hill CDP Lebanon town Griswold town Lisbon town Baltic CDP County Subdivisions not defined Salem town
Tolland County, Connecticut 06071 06072 06066 06235 06237 06074 06238 06226 06084 06232 06242 06231 06251 06279 06077 06269 06075 06248 06029 06042 06447 06415 06250 06043 06076 06268 Mansfield town Storrs CDP Coventry Lake CDP Rockville CDP South Coventry CDP Coventry town Crystal Lake CDP Stafford Springs CDP Somers CDP Willington town Somers town Andover town Columbia town Mansfield Center CDP Bolton town Ellington town Tolland town Hebron town Vernon town Stafford town Union town
Windham County, Connecticut 06281 06247 06241 06244 06235 06277 06384 06259 06264 06377 06263 06374 06234 06239 06354 06258 06226 06267 06351 06332 06255 06242 06230 06260 06279 06262 06373 06331 06256 06266 06330 06387 06280 06243 06233 06282 06278 06250 06246 Killingly town Woodstock town Putnam town Plainfield town Scotland town Eastford town Willimantic CDP Windham town Brooklyn CDP Putnam CDP Ashford town Pomfret town Hampton town East Brooklyn CDP South Woodstock CDP Plainfield Village CDP Thompson town Chaplin town Moosup CDP Wauregan CDP Danielson borough North Grosvenor Dale CDP South Windham CDP Sterling town Canterbury town Brooklyn town Quinebaug CDP
